Survived,Pclass,Age,Sex,Cabin
0,3,-0.5924805998028934,1,115
1,1,0.6387890120425206,0,81
1,3,-0.2846631968415398,0,115
1,1,0.4079259598215053,0,55
0,3,0.4079259598215053,1,115
0,3,-2.153159805333637e-16,1,115
0,1,1.8700586238879344,1,130
0,3,-2.1315676146096605,1,115
1,3,-0.2077088461012013,0,115
1,2,-1.2081154057256005,0,115
1,3,-1.977658913128984,0,146
1,1,2.177876026849288,0,49
0,3,-0.7463893012835701,1,115
0,3,0.7157433627828589,1,115
0,3,-1.2081154057256005,0,115
1,2,1.9470129746282727,0,115
0,3,-2.1315676146096605,1,115
1,2,-2.153159805333637e-16,1,115
0,3,0.10010855686015188,0,115
1,3,-2.153159805333637e-16,0,115
0,2,0.4079259598215053,1,115
1,2,0.3309716090811671,1,111
1,3,-1.1311610549852618,0,115
1,1,-0.1307544953608631,1,13
0,3,-1.6698415101676307,0,115
1,3,0.6387890120425206,0,115
0,3,-2.153159805333637e-16,1,115
0,1,-0.8233436520239084,1,63
1,3,-2.153159805333637e-16,0,115
0,3,-2.153159805333637e-16,1,115
0,1,0.7926977135231973,1,115
1,1,-2.153159805333637e-16,0,41
1,3,-2.153159805333637e-16,0,115
0,2,2.793510832771995,1,115
0,1,-0.1307544953608631,1,115
0,1,0.946606415003874,1,115
1,3,-2.153159805333637e-16,1,115
0,3,-0.6694349505432317,1,115
0,3,-0.9002980027642468,0,115
1,3,-1.2081154057256005,0,115
0,3,0.7926977135231973,0,115
0,2,-0.2077088461012013,0,115
0,3,-2.153159805333637e-16,1,115
1,2,-2.054613263869322,0,115
1,3,-0.8233436520239084,0,115
0,3,-2.153159805333637e-16,1,115
0,3,-2.153159805333637e-16,1,115
1,3,-2.153159805333637e-16,0,115
0,3,-2.153159805333637e-16,1,115
0,3,-0.9002980027642468,0,115
0,3,-1.7467958609079688,1,115
0,3,-0.6694349505432317,1,115
1,1,1.4852868701862425,0,101
1,2,-0.053800144620524716,0,115
0,1,2.716556482031657,1,23
1,1,-2.153159805333637e-16,1,71
1,2,-0.6694349505432317,0,115
0,3,-0.09227731999069391,1,115
1,2,-1.9007045623886452,0,115
0,3,-1.4389784579466154,1,115
0,3,-0.5924805998028934,1,115
1,1,0.6387890120425206,0,21
0,1,1.1774694672248889,1,80
0,3,-1.977658913128984,1,115
0,1,-2.153159805333637e-16,1,115
1,3,-2.153159805333637e-16,1,115
1,2,-0.053800144620524716,0,143
0,3,-0.8233436520239084,1,115
1,3,-0.9772523535045852,0,115
0,3,-0.2846631968415398,1,115
0,2,0.1770629076004903,1,115
0,3,-1.0542067042449237,0,115
0,2,-0.6694349505432317,1,115
0,3,-0.2846631968415398,1,115
1,3,0.1770629076004903,1,115
0,3,-0.3616175475818782,1,141
0,3,-2.153159805333637e-16,1,115
0,3,-2.153159805333637e-16,1,115
1,2,-2.2216042049758564,1,115
1,3,0.02315420611981349,0,115
0,3,-0.5924805998028934,1,115
1,3,-0.053800144620524716,1,115
1,3,-2.153159805333637e-16,0,115
0,1,-0.1307544953608631,1,115
1,2,-0.9772523535045852,0,115
1,3,0.2540172583408286,0,115
0,3,-1.0542067042449237,1,115
0,3,-2.153159805333637e-16,1,115
1,1,-0.515526249062555,0,63
0,3,-0.4385718983222166,1,115
0,3,-0.053800144620524716,1,115
0,3,-0.7463893012835701,1,115
0,1,1.2544238179652274,1,123
0,3,-0.2846631968415398,1,115
0,3,2.2548303775896263,1,115
0,3,-2.153159805333637e-16,1,115
0,1,3.1782825864736868,1,12
1,1,-0.515526249062555,1,91
1,2,0.3309716090811671,0,115
0,2,0.3309716090811671,1,115
0,3,-0.1307544953608631,0,115
0,3,-2.153159805333637e-16,1,115
0,1,-0.6694349505432317,1,98
0,3,0.2540172583408286,1,115
0,3,0.5618346613021822,1,115
0,3,-0.1307544953608631,1,115
1,3,-0.6694349505432317,0,115
1,3,-2.153159805333637e-16,1,115
0,3,0.6387890120425206,1,115
1,3,-2.153159805333637e-16,0,115
0,1,1.3313781687055657,1,52
0,3,-1.1696382303554311,0,115
0,3,-0.5924805998028934,1,115
0,3,-0.7463893012835701,0,115
0,3,-0.9772523535045852,0,115
0,3,-0.6694349505432317,1,115
0,3,3.139805411103518,1,115
0,2,-0.053800144620524716,1,115
0,1,-0.4385718983222166,1,36
0,3,-2.1315676146096605,0,115
0,2,-0.6694349505432317,1,115
0,3,-2.153159805333637e-16,1,115
0,2,0.2155400829706595,1,115
1,2,0.2155400829706595,0,117
0,1,1.8700586238879344,1,98
1,3,-1.3620241072062769,1,115
0,3,-2.153159805333637e-16,1,115
1,3,-0.4385718983222166,1,115
1,3,-2.153159805333637e-16,0,139
0,3,1.1774694672248889,1,115
0,3,0.2540172583408286,1,115
0,3,-0.7463893012835701,1,115
0,3,1.3313781687055657,0,115
1,2,-0.053800144620524716,0,115
0,2,-0.3616175475818782,1,115
0,2,-0.515526249062555,1,115
1,1,-0.8233436520239084,0,107
0,1,0.5618346613021822,1,55
0,3,-1.0542067042449237,1,115
0,1,-0.4385718983222166,1,45
0,3,-2.153159805333637e-16,0,115
1,3,-0.5924805998028934,0,115
1,3,-0.4385718983222166,0,115
0,3,-0.8233436520239084,1,115
0,2,-0.9002980027642468,1,115
0,2,-0.8233436520239084,1,115
1,3,-0.2077088461012013,1,115
0,3,-1.592887159427292,0,115
0,2,0.523357485932013,1,142
0,2,0.946606415003874,1,115
0,2,1.639195571666919,1,115
1,1,-0.5924805998028934,0,61
0,3,1.9854901499984416,1,115
0,3,0.8311748888933664,1,115
0,3,-2.153159805333637e-16,1,115
0,1,1.639195571666919,1,115
1,3,-1.0542067042449237,0,115
0,3,0.02315420611981349,1,115
0,3,-2.153159805333637e-16,1,115
0,3,-2.153159805333637e-16,1,115
0,3,1.1005151164845508,1,115
1,2,0.7926977135231973,0,115
0,3,-0.2846631968415398,1,115
0,3,-0.9772523535045852,1,115
0,3,-2.208521965349999,1,115
1,3,-1.592887159427292,1,115
1,1,-2.153159805333637e-16,0,124
0,3,1.1774694672248889,0,115
0,1,-2.153159805333637e-16,1,115
0,3,-0.1307544953608631,1,115
0,1,2.4087390790703034,1,18
0,3,-1.977658913128984,1,115
1,3,-2.208521965349999,0,115
0,3,-0.6694349505432317,1,115
0,1,2.0239673253686115,1,14
0,3,-0.9002980027642468,1,115
0,3,-2.153159805333637e-16,1,115
0,1,1.562241220926581,0,69
0,2,0.02315420611981349,1,115
0,3,0.4848803105618438,1,115
0,3,-2.153159805333637e-16,0,115
0,2,-2.153159805333637e-16,1,115
0,3,-1.592887159427292,1,115
1,2,-2.208521965349999,1,145
1,3,-1.977658913128984,0,115
0,1,-2.153159805333637e-16,1,9
1,3,-2.153159805333637e-16,0,115
1,1,1.1774694672248889,1,115
0,3,0.7926977135231973,1,115
0,3,0.4848803105618438,1,115
1,2,0.1770629076004903,0,115
0,2,-0.8233436520239084,1,115
1,3,-0.8233436520239084,0,115
1,2,-2.054613263869322,1,142
1,1,1.1005151164845508,0,28
1,1,2.177876026849288,0,43
0,3,-2.153159805333637e-16,1,115
0,3,0.946606415003874,1,115
1,3,-2.153159805333637e-16,0,115
0,2,-0.4385718983222166,0,115
0,3,-0.1307544953608631,1,115
0,3,-2.153159805333637e-16,1,115
0,3,0.3309716090811671,1,115
0,3,1.2159466425950582,1,115
1,3,-0.9002980027642468,1,115
0,3,-2.1315676146096605,0,146
0,3,0.1770629076004903,1,115
1,3,-0.2846631968415398,1,115
1,3,-1.0542067042449237,0,115
1,1,0.7926977135231973,1,8
0,3,-0.4385718983222166,1,115
1,2,0.4079259598215053,0,115
0,3,-0.5924805998028934,1,115
0,2,0.02315420611981349,1,115
0,3,-2.153159805333637e-16,1,115
1,1,0.10010855686015188,0,103
1,3,-0.2077088461012013,0,115
0,2,0.946606415003874,1,115
1,1,0.1770629076004903,0,93
0,2,0.02315420611981349,1,115
1,3,-1.0542067042449237,1,115
0,2,-0.2077088461012013,1,115
0,3,1.639195571666919,1,115
0,3,-2.153159805333637e-16,1,115
1,1,0.6387890120425206,1,87
0,3,-0.5924805998028934,1,115
1,2,-0.8233436520239084,1,115
0,3,-0.7079121259134008,1,115
0,2,-0.9002980027642468,1,115
0,3,-2.153159805333637e-16,0,115
1,1,0.4079259598215053,0,80
0,3,-0.053800144620524716,1,115
0,2,2.2548303775896263,1,115
1,3,-1.9007045623886452,0,115
0,2,-0.4385718983222166,1,115
0,3,-2.153159805333637e-16,0,115
0,2,1.1005151164845508,1,115
1,2,-1.6698415101676307,0,115
0,2,-0.8233436520239084,1,115
0,2,0.2540172583408286,1,115
0,3,-2.153159805333637e-16,0,115
1,3,-2.153159805333637e-16,0,115
0,2,-0.053800144620524716,1,115
0,3,-0.5924805998028934,1,115
0,3,0.02315420611981349,1,115
0,1,1.1005151164845508,1,78
0,3,-0.3616175475818782,0,115
1,2,-0.4385718983222166,0,115
1,1,0.5618346613021822,1,102
0,2,1.8700586238879344,1,115
0,3,-2.153159805333637e-16,1,115
0,3,-0.053800144620524716,0,146
0,1,2.4856934298106417,1,83
0,3,0.02315420611981349,1,115
0,3,0.8696520642635356,0,115
1,3,-0.053800144620524716,0,115
1,1,-2.153159805333637e-16,0,115
1,1,0.02315420611981349,0,40
1,1,0.4079259598215053,0,115
1,2,1.562241220926581,0,115
0,3,-2.153159805333637e-16,1,115
1,3,-2.054613263869322,1,115
0,1,1.7161499224072576,1,135
0,1,0.7926977135231973,1,46
0,3,-2.153159805333637e-16,0,115
0,2,0.4848803105618438,1,115
0,3,-1.0542067042449237,1,115
1,3,-0.3616175475818782,1,115
1,1,2.177876026849288,0,57
1,1,0.4079259598215053,0,89
0,1,-2.153159805333637e-16,1,115
1,3,-0.3616175475818782,1,115
1,2,0.8696520642635356,0,115
0,1,0.5618346613021822,1,54
1,3,-2.153159805333637e-16,0,115
1,1,2.56264778055098,0,113
0,3,1.1774694672248889,0,115
0,2,-2.153159805333637e-16,1,115
0,3,-1.7467958609079688,1,115
1,3,0.4079259598215053,0,115
0,3,2.716556482031657,1,115
0,3,-0.1307544953608631,1,115
0,3,-1.0542067042449237,1,115
1,3,-0.8233436520239084,1,115
0,1,-2.153159805333637e-16,1,3
0,3,0.2540172583408286,1,115
1,3,0.02315420611981349,1,115
0,3,-0.5924805998028934,1,115
1,2,0.946606415003874,1,115
1,3,-0.5924805998028934,0,115
1,1,-0.2846631968415398,0,115
1,1,-0.8233436520239084,0,31
0,2,0.4848803105618438,1,90
0,3,-0.4385718983222166,0,115
0,3,-0.4385718983222166,1,115
0,1,-2.153159805333637e-16,1,115
0,3,-0.4770490736923857,1,115
0,1,-2.1315676146096605,0,62
1,1,-2.153159805333637e-16,1,51
1,1,1.562241220926581,0,36
1,3,-2.153159805333637e-16,0,115
1,3,-2.153159805333637e-16,1,115
0,3,-0.8233436520239084,1,115
1,2,-2.153159805333637e-16,0,117
0,3,-2.153159805333637e-16,1,115
1,1,-2.214678313409226,1,62
1,1,-2.153159805333637e-16,0,115
1,1,-0.9772523535045852,0,74
0,2,0.02315420611981349,1,115
1,1,0.02315420611981349,0,126
1,1,-0.4385718983222166,0,72
1,1,-0.9002980027642468,0,35
0,2,-0.2846631968415398,0,115
0,3,-0.1307544953608631,1,115
0,2,1.0235607657442125,1,115
1,3,-0.2846631968415398,0,115
1,2,-0.4385718983222166,0,115
0,2,1.8700586238879344,1,115
1,1,0.10010855686015188,0,76
1,1,0.7926977135231973,0,125
0,3,-0.5924805998028934,1,115
0,3,-0.2077088461012013,1,115
1,2,0.02315420611981349,0,115
1,2,-0.5924805998028934,0,115
0,3,-2.153159805333637e-16,1,115
1,1,0.4848803105618438,0,65
0,3,2.4087390790703034,1,115
1,2,0.4848803105618438,0,90
1,3,0.10010855686015188,0,115
1,1,-1.0542067042449237,0,17
1,3,-2.153159805333637e-16,0,115
0,1,1.2159466425950582,1,56
0,1,0.6387890120425206,1,85
0,3,-1.0542067042449237,1,115
1,1,-2.153159805333637e-16,0,115
0,3,-2.153159805333637e-16,1,115
0,1,-0.053800144620524716,1,61
1,1,0.8696520642635356,0,128
1,3,1.1774694672248889,1,115
0,1,1.1774694672248889,1,147
1,2,-2.1315676146096605,1,142
1,1,-0.4385718983222166,0,63
0,2,-0.1307544953608631,1,115
0,2,-0.3616175475818782,1,115
0,2,0.4848803105618438,1,115
1,2,-0.4385718983222166,0,143
1,2,0.7926977135231973,0,115
1,3,-2.153159805333637e-16,0,115
1,3,-2.054613263869322,1,115
0,3,0.946606415003874,1,115
0,3,-0.515526249062555,1,115
0,1,-2.153159805333637e-16,1,59
0,3,-1.1311610549852618,1,115
0,3,-0.3616175475818782,1,115
0,3,-2.153159805333637e-16,1,115
0,3,-0.1307544953608631,1,115
1,1,-0.5924805998028934,0,124
0,2,0.6387890120425206,0,115
1,3,-2.153159805333637e-16,0,115
1,3,-2.153159805333637e-16,0,115
0,3,0.7926977135231973,1,115
0,2,-0.053800144620524716,1,115
0,3,1.1774694672248889,0,115
0,3,0.4079259598215053,1,115
0,3,-2.153159805333637e-16,1,115
0,3,0.02315420611981349,1,115
1,1,2.3317847283299646,0,104
1,3,-2.153159805333637e-16,0,115
1,3,-2.153159805333637e-16,0,115
1,1,-0.4385718983222166,0,24
1,1,-0.3616175475818782,1,132
0,3,-0.9002980027642468,1,115
0,3,-0.8233436520239084,1,115
0,1,-0.5924805998028934,1,115
0,3,-2.054613263869322,0,115
1,1,-2.153159805333637e-16,0,115
1,3,-0.5924805998028934,0,115
0,1,-0.2077088461012013,1,79
0,3,-0.7463893012835701,1,115
0,3,-0.8233436520239084,1,115
1,1,0.946606415003874,0,115
1,3,-2.208521965349999,0,115
0,3,0.1770629076004903,1,115
1,1,0.4079259598215053,0,115
0,3,-2.153159805333637e-16,1,115
0,2,-0.9002980027642468,1,115
0,3,-2.208521965349999,1,115
1,2,0.4848803105618438,0,115
0,3,-2.153159805333637e-16,1,115
1,2,-0.9772523535045852,0,115
1,1,0.4848803105618438,1,47
1,3,-0.6694349505432317,1,115
0,3,-0.1307544953608631,1,115
1,1,-0.515526249062555,0,103
1,3,-0.4385718983222166,0,146
0,3,-0.5924805998028934,1,115
0,3,0.10010855686015188,0,115
0,2,1.2544238179652274,1,115
0,2,-0.515526249062555,1,115
1,2,-0.1307544953608631,0,115
1,3,0.7157433627828589,1,115
0,3,-0.2846631968415398,1,115
0,3,-0.6694349505432317,0,115
0,3,-0.1307544953608631,1,115
0,3,-0.7463893012835701,0,115
0,2,0.3309716090811671,1,115
0,3,1.639195571666919,1,115
1,2,-2.054613263869322,1,115
0,3,-0.6694349505432317,1,115
0,3,-2.153159805333637e-16,0,115
0,3,-2.153159805333637e-16,1,115
0,3,-2.153159805333637e-16,1,115
1,1,0.2540172583408286,0,78
0,2,-2.153159805333637e-16,1,115
1,3,1.1005151164845508,1,115
0,3,-2.153159805333637e-16,0,115
1,2,0.3309716090811671,0,115
1,2,-0.9002980027642468,0,115
0,2,0.02315420611981349,1,115
0,3,-1.515932808686954,0,115
0,3,-2.153159805333637e-16,1,115
0,3,-0.6694349505432317,1,115
0,3,-0.053800144620524716,1,115
0,3,-0.1307544953608631,0,115
0,3,-0.9002980027642468,1,115
0,3,-2.153159805333637e-16,1,115
1,2,-0.1307544953608631,0,115
1,2,-0.8233436520239084,0,115
0,3,-2.153159805333637e-16,1,115
1,3,0.1770629076004903,1,116
1,1,-0.1307544953608631,1,71
1,3,-2.153159805333637e-16,0,115
1,2,0.946606415003874,0,115
0,3,-0.9772523535045852,1,115
0,1,1.562241220926581,1,129
1,1,-1.2081154057256005,0,47
0,3,-0.6694349505432317,0,115
1,2,-0.4385718983222166,0,115
0,1,2.6396021312913183,1,63
0,2,0.10010855686015188,1,115
1,2,1.1774694672248889,0,115
0,3,-0.7463893012835701,1,115
0,3,-0.3616175475818782,1,115
1,2,-0.1307544953608631,0,115
